raw_row_number_1based,trade_id,quality_flag,warning_count,error_count,warning_codes,error_codes
129,256,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
130,258,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
131,260,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
132,264,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
133,263,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
134,266,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
135,268,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
136,271,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
137,272,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
138,274,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
139,277,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
140,278,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
141,280,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
142,284,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
143,283,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
144,286,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
145,288,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
146,290,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
147,294,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
148,293,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
149,296,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
150,300,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
151,299,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
152,304,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
153,303,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
154,307,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
155,308,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
156,311,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
157,312,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
158,315,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
159,316,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
160,320,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
161,319,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
162,322,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
163,326,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
164,325,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
165,330,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
166,329,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
167,334,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
168,333,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
169,336,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
170,338,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
171,340,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
172,344,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
173,343,WARN,2,0,trader_id_surrogate_case_level|timezone_unvalidated_parse_only,
